tconst,averageRating,numVotes,primaryTitle,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News
tt1690389,6.3,1258.0,You Ain't Seen Nothin' Yet,Vous n'avez encore rien vu,115,9494,26 Sep 2012,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1690455,5.9,5231.0,Dark Horse,Dark Horse,86,166228,29 Jun 2012,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1690953,7.4,340012.0,Despicable Me 2,Despicable Me 2,98,368049635,03 Jul 2013,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1691323,6.2,5384.0,Attenberg,Attenberg,97,12540,09 Dec 2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1691916,6.4,38110.0,Before I Fall,Before I Fall,98,12230741,03 Mar 2017,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
tt1691917,5.7,39586.0,Planes,Planes,91,71270759,09 Aug 2013,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1691920,6.0,5544.0,I Melt with You,I Melt with You,122,4176,26 Jul 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1692486,7.2,110464.0,Carnage,Carnage,80,2200000,18 Nov 2011,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1692928,8.3,3791.0,The Last Lions,The Last Lions,88,631925,18 Feb 2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1694015,6.9,793.0,Cool It,Cool It,87,62713,01 Jun 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1694020,5.8,33515.0,The Guilt Trip,The Guilt Trip,95,37101011,19 Dec 2012,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1695405,5.5,3545.0,The Loneliest Planet,The Loneliest Planet,113,128519,03 Jan 2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1695994,4.6,3689.0,The Virginity Hit,The Virginity Hit,86,535249,24 Sep 2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1696535,6.4,1035.0,El Bulli: Cooking in Progress,El Bulli: Cooking in Progress,108,237181,15 Sep 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1697696,2.9,16.0,Project Nine,Project Nine,75,187540,01 May 2010,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1697887,7.0,42.0,Brief Reunion,Brief Reunion,88,5891,10 Aug 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1698010,8.0,5870.0,TT3D: Closer to the Edge,TT3D: Closer to the Edge,104,312998,22 Apr 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
tt1698641,6.2,36724.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,56752482,10 Oct 2014,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1698648,5.8,13830.0,Imogene,Girl Most Likely,103,1378426,18 Jul 2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1699147,6.1,2717.0,Seven Days in Utopia,Seven Days in Utopia,100,4367448,02 Sep 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1699185,6.6,1217.0,Free Men,Les hommes libres,99,47701,16 Mar 2012,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt1699513,2.5,5515.0,Beginning of the Great Revival,Jian dang wei ye,140,151305,24 Jun 2011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt1699720,6.9,194.0,!Women Art Revolution,Women Art Revolution,83,51530,01 Jun 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1699755,5.3,4425.0,Peeples,Peeples,95,9123834,10 May 2013,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1700808,6.3,3018.0,Fast Girls,Fast Girls,91,335700,15 Jun 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1700841,6.2,156573.0,Sausage Party,Sausage Party,89,97661826,12 Aug 2016,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1700844,6.3,13572.0,The Deep Blue Sea,The Deep Blue Sea,98,1124786,25 Nov 2011,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1700845,6.2,8577.0,The Invisible Woman,The Invisible Woman,111,1200000,21 Feb 2014,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tt1701976,7.4,1907.0,Urbanized,Urbanized,85,36208,26 Oct 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1702425,5.5,19048.0,Casa de mi Padre,Casa de mi Padre,84,5895238,11 May 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt1702429,6.3,2244.0,Eisenstein in Guanajuato,Eisenstein in Guanajuato,105,20852,18 Jun 2015,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt1702439,6.7,95794.0,Safe Haven,Safe Haven,115,71100000,14 Feb 2013,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1702443,1.6,74965.0,Justin Bieber: Never Say Never,Justin Bieber: Never Say Never,105,73000942,11 Feb 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt1703148,6.8,34622.0,The Hunter,The Hunter,102,176432,06 Oct 2011,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1703957,6.6,15285.0,Genius,Genius,104,1358018,10 Jun 2016,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt1703958,5.8,5951.0,Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,110,1153360,10 Feb 2012,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1704573,6.8,53394.0,Bernie,Bernie,99,5900000,22 Jun 2012,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt1704619,7.1,6142.0,Tabloid,Tabloid,87,680468,11 Nov 2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1706317,3.9,1927.0,Tezz,Tezz,121,218622,26 Apr 2012,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1706593,7.1,227732.0,Chronicle,Chronicle,84,60800000,03 Feb 2012,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt1706598,6.1,6175.0,Every Secret Thing,Every Secret Thing,93,97020,20 Apr 2014,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt1706620,7.1,232589.0,Snowpiercer,Snowpiercer,126,2786828,11 Jul 2014,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1707386,7.6,283134.0,Les Misérables,Les Misérables,158,148775460,25 Dec 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
tt1707391,4.6,4575.0,4:44 Last Day on Earth,4:44 Last Day on Earth,82,15738,19 Dec 2012,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt1707392,5.3,8756.0,Lovely Molly,Lovely Molly,99,17977,29 Jun 2012,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1708135,7.0,7057.0,Elser,Elser,114,160450,30 Jun 2017,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
tt1708473,6.8,294.0,Gerry,Gerry,131,1934140,15 Jun 2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt1708532,4.8,13389.0,Ready,Ready,145,910446,03 Jun 2011,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1708537,8.1,595.0,The Whale,The Whale,85,81212,09 Sep 2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt1709654,6.2,3987.0,Citizen Gangster,Edwin Boyd,105,625,27 Apr 2012,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1710396,5.8,7524.0,Joyful Noise,Joyful Noise,118,29000000,13 Jan 2012,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt1710417,5.5,7924.0,Lola Versus,Lola Versus,87,200000,08 Jun 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1710469,6.7,164.0,Seasons of Gray,Seasons of Gray,90,70605,01 Sep 2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1711425,5.9,67955.0,21 & Over,21 & Over,93,25675765,01 Mar 2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1711484,6.3,1503.0,The Conquest,La conquête,105,194888,18 May 2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt1711525,5.8,58280.0,Office Christmas Party,Office Christmas Party,105,54730514,09 Dec 2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1712170,5.1,30789.0,Alex Cross,Alex Cross,101,25863915,19 Oct 2012,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt1713476,5.6,23211.0,The Bay,The Bay,84,30474,21 Nov 2012,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tt1714203,3.7,36659.0,Piranha 3DD,Piranha 3DD,83,370904,11 May 2012,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt1714209,4.4,32709.0,In the Land of Blood and Honey,In the Land of Blood and Honey,127,301305,16 Feb 2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tt1714210,7.6,25104.0,Weekend,Weekend,97,317593,04 Nov 2011,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1714833,6.4,4421.0,Drift,Drift,113,444465,02 Jul 2013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
tt1714866,6.2,2694.0,Midnight's Children,Midnight's Children,146,85497,26 Dec 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1714886,6.6,1832.0,Post Mortem,Post Mortem,98,2576,11 Apr 2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1714917,7.2,3941.0,Gimme Danger,Gimme Danger,108,439748,05 Aug 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt1715873,6.1,22301.0,10 Years,10 Years,100,201146,05 Oct 2012,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1716772,6.8,72549.0,The Inbetweeners Movie,The Inbetweeners Movie,97,30825490,17 Aug 2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1716777,7.1,39337.0,People Like Us,People Like Us,114,12431792,29 Jun 2012,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1718199,7.1,12751.0,Dragon,Wu xia,115,11137,04 Jul 2011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1718835,6.0,2507.0,My Worst Nightmare,Mon pire cauchemar,103,21456,09 Nov 2011,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1718903,5.7,8350.0,StreetDance 2,StreetDance 2,85,1124582,30 Mar 2012,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt1719071,6.0,3767.0,Another Happy Day,Another Happy Day,119,8464,08 Dec 2011,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
