,tconst,primaryTitle,G,GP,M,M/PG,NC-17,Not Yet Rated,PG,PG-13,R,Unknown,Unrated,X,averageRating,numVotes,originalTitle,runtimeMinutes,box office,released,Action,Crime,Drama,Adventure,Romance,Comedy,Sci-Fi,Animation,Family,Thriller,Horror,Mystery,Biography,History,Fantasy,Sport,Music,Documentary,War,Western,Musical,News,Opening_Weekend,budget,valid,avg_pos,avg_neg,no_pos_comms,no_neg_comms
13,tt2294449,22 Jump Street,0,0,0,0,0,0,0,0,1,0,0,0,7.0,315400.0,22 Jump Street,112,154295930,13 Jun 2014,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57071445,50000000,True,0.5598598021582674,-0.4972582278481024,5560,2370
14,tt2304459,23 Blast,0,0,0,0,0,0,0,1,0,0,0,0,6.5,1538.0,23 Blast,98,485128,24 Oct 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,337091,0,True,0.5843623287671235,-0.41463125000000006,584,192
15,tt2124074,28 Hotel Rooms,0,0,0,0,0,0,0,0,0,0,1,0,5.8,2735.0,28 Hotel Rooms,82,16017,09 Nov 2012,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869,0,True,0.5614594381035938,-0.49842975708502124,5695,2470
16,tt4158624,3 Generations,0,0,0,0,0,0,0,1,0,0,0,0,5.8,4860.0,3 Generations,92,66371,29 Sep 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105215,0,True,0.5606761049723713,-0.5003816438356165,5792,2920
17,tt2822742,3 Hearts,0,0,0,0,0,0,0,1,0,0,0,0,5.9,2042.0,3 coeurs,108,104398,17 Sep 2014,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11794,0,True,0.5292621621621626,-0.49553975535168243,481,327
18,tt3685624,3 Idiotas,0,0,0,0,0,0,0,1,0,0,0,0,4.2,726.0,3 Idiotas,106,1239307,02 Jun 2017,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609249,0,True,0.5943991304347835,-0.46241486486486455,1035,222
19,tt2123884,3 Nights in the Desert,0,0,0,0,0,0,0,0,1,0,0,0,5.3,1404.0,3 Nights in the Desert,90,1279,04 Jan 2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,0,True,0.5739479166666656,-0.5019185344827588,2688,928
20,tt1484521,30 Beats,0,0,0,0,0,0,0,0,1,0,0,0,4.1,857.0,30 Beats,88,14686,16 Nov 2012,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8624,0,True,0.5417454545454544,-0.47779090909090927,110,55
21,tt1622547,30 Minutes or Less,0,0,0,0,0,0,0,0,1,0,0,0,6.1,86557.0,30 Minutes or Less,83,37100000,12 Aug 2011,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13330118,28000000,True,0.5644208025343124,-0.4919099322799094,4735,2215
22,tt3711708,30 Years of Garbage: The Garbage Pail Kids Story,0,0,0,0,0,0,0,0,0,0,1,0,7.2,72.0,30 Years of Garbage: The Garbage Pail Kids Story,114,22251,20 Sep 2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5030,0,True,0.5546132860938828,-0.489374794069192,4516,2428
